participant_id,q_id,label
1251,1,0
1251,10,0
1251,11,1
1251,12,1
1251,13,1
1251,14,0
1251,15,1
1251,16,1
1251,17,0
1251,18,0
1251,19,0
1251,2,1
1251,20,0
1251,21,0
1251,22,0
1251,23,1
1251,24,0
1251,25,0
1251,26,1
1251,27,0
1251,28,0
1251,29,0
1251,3,0
1251,30,0
1251,4,1
1251,5,0
1251,6,1
1251,7,1
1251,8,0
1251,9,1
1483,10,1
1483,11,1
1483,12,1
1483,13,0
1483,14,0
1483,15,1
1483,16,1
1483,17,1
1483,18,0
1483,19,0
1483,2,1
1483,21,1
1483,22,1
1483,23,0
1483,24,0
1483,25,0
1483,26,1
1483,27,1
1483,28,0
1483,29,0
1483,3,0
1483,30,0
1483,4,0
1483,5,0
1483,6,1
1483,7,1
1483,8,0
1483,9,0
1676,1,0
1676,10,0
1676,11,1
1676,12,1
1676,13,0
1676,14,0
1676,15,1
1676,16,1
1676,17,0
1676,18,0
1676,19,0
1676,2,1
1676,20,0
1676,21,0
1676,22,0
1676,23,0
1676,24,0
1676,25,0
1676,26,0
1676,27,1
1676,28,0
1676,29,0
1676,3,1
1676,30,0
1676,4,0
1676,5,0
1676,6,0
1676,7,1
1676,8,0
1676,9,1
2698,1,0
2698,10,0
2698,11,1
2698,12,1
2698,13,1
2698,14,0
2698,15,1
2698,16,1
2698,17,1
2698,18,0
2698,19,1
2698,2,1
2698,20,0
2698,21,1
2698,22,1
2698,23,0
2698,24,0
2698,25,0
2698,26,0
2698,27,0
2698,28,0
2698,29,0
2698,3,1
2698,30,0
2698,4,0
2698,5,0
2698,6,1
2698,7,1
2698,8,0
2698,9,1
2946,1,0
2946,10,0
2946,11,1
2946,12,1
2946,13,0
2946,14,0
2946,15,1
2946,16,1
2946,17,1
2946,18,1
2946,19,1
2946,2,1
2946,20,0
2946,21,1
2946,22,0
2946,23,0
2946,24,0
2946,25,1
2946,26,0
2946,27,1
2946,28,1
2946,29,0
2946,3,1
2946,30,0
2946,4,0
2946,5,0
2946,6,1
2946,7,1
2946,8,1
2946,9,0
3157,1,0
3157,10,0
3157,11,1
3157,12,1
3157,13,1
3157,14,0
3157,15,1
3157,16,1
3157,17,1
3157,18,0
3157,19,1
3157,2,1
3157,20,0
3157,21,0
3157,22,1
3157,23,0
3157,24,0
3157,25,0
3157,26,1
3157,27,1
3157,28,1
3157,29,0
3157,3,1
3157,30,1
3157,4,1
3157,5,0
3157,6,1
3157,7,1
3157,8,0
3157,9,1
3203,1,1
3203,10,0
3203,11,1
3203,12,1
3203,13,1
3203,14,0
3203,15,1
3203,16,0
3203,17,1
3203,18,0
3203,19,0
3203,2,1
3203,20,0
3203,21,1
3203,22,0
